movie_id,title,runtime_minutes,genres,average_rating,num_votes,release_date,production_budget,domestic_gross,worldwide_gross,studio,year,roi_domestic,roi_worldwide
tt2473682,Paranormal Activity: The Marked Ones,84.0,Mystery,5.0,37147,2014-01-03,5000000,32462372,90904854,Par.,2014,6.4924744,18.1809708
tt2473682,Paranormal Activity: The Marked Ones,84.0,Thriller,5.0,37147,2014-01-03,5000000,32462372,90904854,Par.,2014,6.4924744,18.1809708
tt2473794,Mr. Turner,150.0,Biography,6.8,22661,2014-12-19,14000000,3958546,25187026,SPC,2014,0.2827532857142857,1.7990732857142857
tt2473794,Mr. Turner,150.0,Drama,6.8,22661,2014-12-19,14000000,3958546,25187026,SPC,2014,0.2827532857142857,1.7990732857142857
tt2473794,Mr. Turner,150.0,History,6.8,22661,2014-12-19,14000000,3958546,25187026,SPC,2014,0.2827532857142857,1.7990732857142857
tt2479800,Palo Alto,100.0,Drama,6.2,25402,2014-05-09,1000000,767732,1156309,Trib.,2014,0.767732,1.156309
tt2486682,The Square,108.0,Documentary,8.1,7998,2010-04-09,1900000,406216,740932,Magn.,2017,0.2137978947368421,0.3899642105263158
tt2486682,The Square,108.0,Drama,8.1,7998,2010-04-09,1900000,406216,740932,Magn.,2017,0.2137978947368421,0.3899642105263158
tt2486682,The Square,108.0,History,8.1,7998,2010-04-09,1900000,406216,740932,Magn.,2017,0.2137978947368421,0.3899642105263158
tt2486682,The Square,108.0,Documentary,8.1,7998,2013-10-25,1500000,124244,176262,Magn.,2017,0.08282933333333334,0.117508
tt2486682,The Square,108.0,Drama,8.1,7998,2013-10-25,1500000,124244,176262,Magn.,2017,0.08282933333333334,0.117508
tt2486682,The Square,108.0,History,8.1,7998,2013-10-25,1500000,124244,176262,Magn.,2017,0.08282933333333334,0.117508
tt4995790,The Square,151.0,Comedy,7.2,44239,2010-04-09,1900000,406216,740932,Magn.,2017,0.2137978947368421,0.3899642105263158
tt4995790,The Square,151.0,Drama,7.2,44239,2010-04-09,1900000,406216,740932,Magn.,2017,0.2137978947368421,0.3899642105263158
tt4995790,The Square,151.0,Comedy,7.2,44239,2013-10-25,1500000,124244,176262,Magn.,2017,0.08282933333333334,0.117508
tt4995790,The Square,151.0,Drama,7.2,44239,2013-10-25,1500000,124244,176262,Magn.,2017,0.08282933333333334,0.117508
tt2495212,Loving,105.0,Drama,7.1,257,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt2495212,Loving,105.0,Romance,7.1,257,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt4669986,Loving,123.0,Biography,7.0,28079,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt4669986,Loving,123.0,Drama,7.0,28079,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt4669986,Loving,123.0,Romance,7.0,28079,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt5479616,Loving,105.0,Drama,5.3,2530,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
tt5479616,Loving,105.0,Romance,5.3,2530,2016-11-04,9000000,7710234,12898064,Focus,2016,0.8566926666666667,1.4331182222222223
